Number,ScientificName,Order
2015_001,Arabidopsis thaliana,Brassicales
2015_002,Oryza sativa ssp. indica,Poales
2015_003,Oryza sativa ssp. japonica,Poales
2015_004,Populus trichocarpa,Malpighiales
2015_005,Vitis vinifera,Vitales
2015_008,Cucumis sativus,Cucurbitales
2015_009,Sorghum bicolor,Poales
2015_010,Zea mays,Poales
2015_011,Fragaria vesca,Rosales
2015_012,Brachypodium distachyon,Poales
2015_013,Ricinus communis,Malpighiales
2015_014,Jatropha curcas,Malpighiales
2015_015,Theobroma cacao,Malvales
2015_016,Malus domestica,Rosales
2015_017,Glycine max,Fabales
2015_018,Thellungiella parvula,Brassicales
2015_019,Arabidopsis lyrata,Brassicales
2015_020,Medicago truncatula,Fabales
2015_021,Brassica rapa,Brassicales
2015_023,Phoenix dactylifera,Arecales
2015_024,Cannabis sativa,Rosales
2015_025,Cajanus cajan,Fabales
2015_027,Prunus mume,Rosales
2015_029,Citrus sinensis,Sapindales
2015_030,Linum usitatissimum,Malpighiales
2015_031,Citrullus lanatus,Cucurbitales
2015_032,Cucumis melo,Cucurbitales
2015_034,Setaria italica,Poales
2015_036,Pyrus bretschneideri,Rosales
2015_037,Solanum pimpinellifolium,Solanales
2015_038,Manihot esculenta,Malpighiales
2015_039,Gossypium raimondii,Malvales
2015_040,Solanum lycopersicum,Solanales
2015_041,Nicotiana benthamiana,Solanales
2015_042,Hordeum vulgare,Poales
2015_046,Capsella grandiflora,Brassicales
2015_047,Capsella rubella,Brassicales
2015_048,Aethionema arabicum,Brassicales
2015_049,Eutrema salsugineum,Brassicales
2015_051,Prunus persica,Rosales
2015_052,Tarenaya hassleriana,Brassicales
2015_053,Oryza brachyantha,Poales
2015_055,Erythranthe guttatus,Lamiales
2015_056,Morus notabilis,Rosales
2015_057,Musa balbisiana,Zingiberales
2015_058,Populus euphratica,Malpighiales
2015_060,Beta vulgaris,Caryophyllales
2015_061,Cicer arietinum,Fabales
2015_062,Amborella trichopoda,Amborellales
2015_063,Actinidia chinensis,Ericales
2015_064,Nelumbo nucifera,Proteales
2015_065,Lupinus angustifolius,Fabales
2015_066,Elaeis guineensis,Arecales
2015_067,Phyllostachys edulis,Poales
2015_068,Hevea brasiliensis,Malpighiales
2015_069,Nicotiana sylvestris,Solanales
2015_070,Nicotiana tomentosiformis,Solanales
2015_071,Aegilops tauschii,Poales
2015_074,Spirodela polyrhiza,Alismatales
2015_075,Arabidopsis halleri,Brassicales
2015_076,Citrus clementina,Sapindales
2015_078,Sesamum indicum,Lamiales
2015_079,Oryza glumaepatula,Poales
2015_080,Oryza barthii,Poales
2015_082,Oryza nivara,Poales
2015_083,Oryza glaberrima,Poales
2015_084,Trifolium pratense,Fabales
2015_085,Salix suchowensis,Malpighiales
2015_086,Ziziphus jujuba,Rosales
2015_087,Amaranthus hypochondriacus,Caryophyllales
2015_088,Vaccinium macrocarpon,Ericales
2015_089,Raphanus raphanistrum,Brassicales
2015_090,Raphanus sativus,Brassicales
2015_092,Vigna radiata,Fabales
2015_093,Phaseolus vulgaris,Fabales
2015_094,Pyrus communis,Rosales
2015_095,Brassica oleracea,Brassicales
2015_096,Eucalyptus grandis,Myrtales
2015_098,Coffea canephora,Gentianales
2015_100,Camelina sativa,Brassicales
2015_101,Brassica napus,Brassicales
2015_102,Solanum melongena,Solanales
2015_103,Phalaenopsis equestris,Asparagales
2015_104,Solanum pennellii,Solanales
2015_105,Gossypium arboreum,Malvales
2015_109,Capsicum annuum,Solanales
2015_110,Nicotiana tabacum,Solanales
2015_111,Triticum aestivum,Poales
2015_112,Glycine soja,Fabales
2015_114,Moringa oleifera,Brassicales
2015_116,Arabis alpina,Brassicales
2015_120,Vaccinium corymbosum,Ericales
2015_121,Ipomoea trifida,Solanales
2015_122,Ananas comosus,Poales
2015_123,Vigna angularis,Fabales
2015_124,Thlaspi arvense,Brassicales
2015_125,Zizania latifolia,Poales
2015_126,Salvia miltiorrhiza,Lamiales
2015_127,Catharanthus roseus,Gentianales
2015_128,Solanum commersonii,Solanales
2015_131,Lolium perenne,Poales
2015_132,Gossypium hirsutum,Malvales
2015_133,Gossypium barbadense,Malvales
2015_134,Hordeum vulgare var. nudum,Poales
2016_001,Ginkgo biloba ,Ginkgoales
2016_002,Cardamine hirsuta,Brassicales
2016_003,Zostera marina,Alismatales
2016_006,Rubus occidentalis,Rosales
2016_007,Momordica charantia,Cucurbitales
2016_011,Glycyrrhiza uralensis,Fabales
2016_014,Daucus carota,Apiales
2016_016,Brassica nigra,Brassicales
2016_017,Juglans regia,Fagales
2016_018,Musa itinerans,Zingiberales
2016_019,Macadamia integrifolia,Proteales
2016_021,Quercus lobata,Fagales
2016_023,Ipomoea nil,Solanales
2016_025,Cicer reticulatum,Fabales
2016_026,Fraxinus excelsior,Lamiales
2016_028,Brassica juncea,Brassicales
2016_029,Cynara cardunculus,Asterales
2016_030,Dendrobium catenatum,Asparagales
2016_031,Arachis duranensis,Fabales
2016_033,Olea europaea,Lamiales
2016_034,Petunia inflata,Solanales
2016_035,Petunia axillaris,Solanales
2016_036,Chenopodium quinoa,Caryophyllales
2016_037,Arachis ipaensis,Fabales
2016_038,Pogostemon cablin,Lamiales
2016_039,Hibiscus syriacus,Malvales
2016_040,Trifolium subterranum,Fabales
2017_002,Calotropis gigantea,Gentianales
2017_003,Kalanchoe fedtschenkoi,Saxifragales
2017_005,Rhizophora apiculata,Malpighiales
2017_006,Cucurbita pepo,Cucurbitales
2017_007,Xerophyta viscosa,Pandanales
2017_008,Atalantia buxifolia,Sapindales
2017_009,Lagenaria siceraria,Cucurbitales
2017_010,Prunus avium,Rosales
2017_012,Punica granatum,Myrtales
2017_013,Citrus unshiu,Sapindales
2017_014,Cucurbita moschata,Cucurbitales
2017_015,Citrus grandis,Sapindales
2017_016,Cucurbita maxima,Cucurbitales
